location,zika_total
ANTIOQUIA,9
ANTIOQUIA,187
ANTIOQUIA,2
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,1
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,2
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,13
ANTIOQUIA,0
ANTIOQUIA,182
ANTIOQUIA,13
ANTIOQUIA,0
ANTIOQUIA,2
ANTIOQUIA,2
ANTIOQUIA,0
ANTIOQUIA,22
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,7
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,44
ANTIOQUIA,0
ANTIOQUIA,3
ANTIOQUIA,0
ANTIOQUIA,2
ANTIOQUIA,1
ANTIOQUIA,0
ANTIOQUIA,51
ANTIOQUIA,2
ANTIOQUIA,0
ANTIOQUIA,58
ANTIOQUIA,112
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,1
ANTIOQUIA,3
ANTIOQUIA,0
ANTIOQUIA,3
ANTIOQUIA,2
ANTIOQUIA,0
ANTIOQUIA,8
ANTIOQUIA,2
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,1
ANTIOQUIA,0
ANTIOQUIA,2
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,3
ANTIOQUIA,0
ANTIOQUIA,1
ANTIOQUIA,20
ANTIOQUIA,1
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,2
ANTIOQUIA,1
ANTIOQUIA,1
ANTIOQUIA,1
ANTIOQUIA,3
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,19
ANTIOQUIA,3
ANTIOQUIA,23
ANTIOQUIA,17
ANTIOQUIA,2
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,45
ANTIOQUIA,3
ANTIOQUIA,25
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,2
ANTIOQUIA,2
ANTIOQUIA,3
ANTIOQUIA,1
ANTIOQUIA,3
ANTIOQUIA,1
ANTIOQUIA,1
ANTIOQUIA,1
ANTIOQUIA,0
ANTIOQUIA,7
ANTIOQUIA,4
ANTIOQUIA,2
ANTIOQUIA,10
ANTIOQUIA,1
ANTIOQUIA,3
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,0
ANTIOQUIA,0
