location,zika_total,
Alabama,3,
Alaska,1,
Arizona,3,
Arkansas,0,
California,51,
Colorado,6,
Connecticut,0,
Delaware,0,
District of Columbia,3,
Florida‡,107,
Georgia,2,
Hawaii,3,
Idaho,0,
Illinois,7,
Indiana,3,
Iowa,1,
Kansas,2,
Kentucky,2,
Louisiana,1,
Maine,1,
Maryland,12,
Massachusetts,10,
Michigan,7,
Minnesota,6,
Mississippi,2,
Missouri,2,
Montana,0,
Nebraska,1,
Nevada,1,
New Hampshire,0,
New Jersey,11,
New Mexico,0,
New York,61,
North Carolina,8,
North Dakota,0,
Ohio,3,
Oklahoma,1,
Oregon,5,
Pennsylvania,6,
Rhode Island,3,
South Carolina,2,
South Dakota,0,
Tennessee,1,
Texas‡,47,
Utah,4,
Vermont,3,
Virginia,6,
Washington,13,
West Virginia,1,
Wisconsin,4,
Wyoming,2,
American Samoa,73,
Puerto Rico,519,
U.S. Virgin Islands,45,
